Benchmark,mix
exe_time,646.203125
CYCLE_VAL,302
tracectr,10000000
mem_clk,0
invokectr,10000001
oramctr,0
dummyctr,0
pos1_access,1022734
pos2_access,202601
plb_hit0,0.000000%
plb_hit1,87.437262%
plb_hit2,82.849224%
plb_hit0,0
plb_hit1,8342509
plb_hit2,993054
plbaccess0,9541137
plbaccess1,9541137
plbaccess2,1198628
oramQ_size,0
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,0
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,67.100991%
midctr,27.060093%
botctr,5.838916%
ring_evictctr,2153293
stashctr,3
stash_cont,5
linger_discard,0
shuffctr,9677166
ringctr,10766472
wbctr,10124345
writectr,3654622
wskip,0
mem_req_late,0.000000
nonmemops_sum,0
missl1wb,0
missl1wb_rate,-nan%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,26082820
dead_on_path,12
nonleaf_r_norm,233901894
leaf_r_norm,10799921
nonleaf_w_norm,403529256
leaf_w_norm,25869096
nonleaf_r_remote,0
leaf_r_remote,0
nonleaf_r_inplace,0
leaf_r_inplace,0
nonleaf_w_inplace,0
nonleaf_w_inplace_remembered,0
nonleaf_w_remote,0
leaf_w_inplace,0
leaf_w_remote,0
deadQ-size,0
remote_located_leaves,0
